Codmun,ESPVIDA,FECTOT,MORT5,RAZDEP,SOBRE40,SOBRE60,T_ENV,E_ANOSESTUDO,T_ANALF11A14,T_ANALF15A17,T_ANALF15M,T_ANALF18A24,T_ANALF18M,T_ANALF25A29,T_ANALF25M,GINI,PIND,PINDCRI,PMPOB,PMPOBCRI,PPOB,PPOBCRI,RDPC,RIND,RMPOB,RPOB,THEIL,T_AGUA,T_BANAGUA,T_DENS,T_LIXO,T_LUZ,AGUA_ESGOTO,T_FUNDIN_TODOS,T_FUNDIN_TODOS_MMEIO,T_FUNDIN18MINF,T_M15A17CF,T_MULCHEFEFIF014,T_RMAXIDOSO,T_SLUZ,IDHM,IDHM_E,IDHM_L,IDHM_R,MORT1
292170,70.98,2.6,26.44,60.73,94.31,83.49,7.63,9.38,6.06,3.61,22.0,5.36,23.91,10.4,28.47,0.51,20.15,28.17,43.04,59.05,71.85,85.62,250.88,34.77,72.82,123.21,0.47,74.88,52.78,29.22,87.42,94.09,19.89,49.57,39.58,65.26,4.07,30.36,5.2,5.91,0.588,0.478,0.766,0.554,24.5
292180,71.28,1.48,25.51,52.78,94.5,83.99,11.91,9.02,3.02,2.41,26.49,3.76,28.53,6.78,33.98,0.48,13.8,20.81,26.65,42.09,52.91,73.89,330.3,34.46,67.22,132.94,0.44,83.2,84.1,15.64,97.0,96.34,8.59,36.42,19.51,64.46,4.42,18.77,3.28,3.66,0.618,0.513,0.771,0.598,23.6
292190,72.2,2.12,22.84,53.68,95.06,85.45,7.94,8.32,5.95,2.93,19.83,3.43,21.29,7.46,25.93,0.53,18.04,25.42,35.14,49.75,60.65,76.29,312.35,23.7,63.58,121.45,0.55,78.4,81.45,24.59,96.8,92.42,2.87,44.59,31.73,54.16,4.17,20.58,3.25,7.58,0.606,0.48,0.787,0.589,21.2
292200,73.05,2.7,20.49,52.88,95.56,86.78,5.0,7.97,3.64,2.71,18.26,3.28,19.89,6.18,23.92,0.57,8.52,10.25,22.95,32.3,44.93,57.65,546.41,23.5,81.68,140.93,0.58,89.26,70.17,29.3,98.45,96.3,20.42,32.3,20.06,42.52,16.13,21.74,2.04,3.7,0.665,0.541,0.801,0.679,19.0
292205,70.18,2.61,28.97,61.75,93.78,82.15,6.51,8.22,6.3,4.34,20.41,4.02,22.18,9.04,27.32,0.49,28.28,37.32,49.91,64.54,74.75,86.05,199.94,33.38,64.39,109.24,0.48,23.44,15.36,30.64,93.35,97.44,63.83,47.66,36.01,70.1,9.37,43.56,5.97,2.56,0.566,0.466,0.753,0.517,26.8
292210,72.43,2.46,22.18,59.02,95.2,85.82,8.45,8.15,4.66,3.54,22.88,6.42,24.89,10.36,29.72,0.65,22.36,32.07,41.77,60.54,70.43,85.84,346.89,35.07,67.15,119.66,0.82,74.3,61.92,31.27,93.88,90.44,19.54,50.55,39.61,68.82,5.77,36.88,5.92,9.56,0.59,0.429,0.791,0.606,20.6
292220,70.64,1.75,27.48,45.06,94.09,82.93,8.57,9.61,3.85,3.89,22.54,3.93,24.09,6.97,28.37,0.51,15.81,23.3,33.95,49.34,62.97,81.87,297.78,35.93,73.53,129.04,0.48,76.97,77.07,23.44,98.36,97.94,15.66,35.87,23.74,59.75,8.19,27.61,5.53,2.06,0.617,0.531,0.761,0.581,25.5
292225,70.63,2.7,27.53,65.89,94.08,82.91,5.48,8.57,9.01,5.52,25.28,4.66,27.66,8.19,34.09,0.55,36.66,44.58,59.01,72.74,79.66,89.67,166.67,25.32,54.63,90.23,0.53,78.41,64.74,35.23,97.48,92.36,12.09,51.47,44.45,70.99,11.89,41.66,6.63,7.64,0.549,0.445,0.761,0.488,25.5
292230,72.74,1.66,21.32,48.0,95.38,86.31,8.04,8.41,4.94,3.51,16.84,4.76,18.01,6.74,21.0,0.55,12.74,20.08,26.53,40.59,54.79,70.64,401.14,32.52,71.53,140.18,0.57,91.74,74.75,24.27,98.09,99.87,19.64,28.5,17.74,46.02,2.59,22.66,5.22,0.13,0.66,0.573,0.796,0.629,19.8
292240,70.08,2.11,29.29,49.21,93.71,81.98,8.31,8.31,3.45,3.33,23.48,3.85,25.18,8.79,30.14,0.63,19.86,26.01,40.5,54.65,63.71,78.36,374.8,35.14,69.38,118.28,0.78,70.3,80.32,24.25,100.0,97.43,7.51,46.11,32.91,65.99,7.75,18.92,7.62,2.57,0.601,0.467,0.751,0.618,27.2
